Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
10/09/2019,"187 ERRIGAL RD, DUBLIN 12, DUBLIN",Dublin 12,Dublin,"€330,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2012,"88 Dowland Road, Walkinstown",Dublin 11,Dublin,"€197,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/04/2018,"KEERAGH VIEW, BALLYGOW, CARRIG ON BANNOW",,Wexford,"€142,500.00",No,No,Second-Hand Dwelling house /Apartment,
11/10/2016,"24 RIVERSIDE DR, SHANNON BANKS, CORBALLY",,Clare,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/06/2018,"76 GRANGE ABBEY RD, DONAGHMEADE, DUBLIN 13",Dublin 13,Dublin,"€385,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/05/2017,"6 BEAUFIELD GROVE, MAYNOOTH, KILDARE",,Kildare,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/10/2017,"RABAUN, SWINFORD, MAYO",,Mayo,"€58,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
21/11/2016,"APT 25 CHANCERY COURT, CHANCERY LANE, DUBLIN 8",Dublin 8,Dublin,"€376,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/03/2019,"27 Marrsfield Avenue, Clongriffin",Dublin 13,Dublin,"€343,700.00",No,Yes,New Dwelling house /Apartment,
16/07/2021,"62 FITZWILLIAM QUAY, RINGSEND, DUBLIN 4",Dublin 4,Dublin,"€342,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2010,"18 Drumcree Court, Kildare Town",,Kildare,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/05/2016,"20 INNISHMORE LAWN, BALLINCOLLIG, CORK",,Cork,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/12/2017,"2 ANNALEE, RUSSELL QUAY, BALLYCONNELL",,Cavan,"€46,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2018,"29 The Meadows, Whitefield Manor, Bettystown",,Meath,"€225,022.03",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
23/02/2015,"1 OSULLIVAN AVE, BALLYBOUGH, DUBLIN 3",Dublin 3,Dublin,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/10/2020,"31 BELLEVILLE, BLACKHORSE AVE, DUBLIN 7",Dublin 7,Dublin,"€485,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/05/2019,"235 LANDEN RD BALLYFERMOT, DUBLIN 10, DUBLIN",Dublin 10,Dublin,"€225,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
25/03/2015,"36 MAPLEWOOD AVE, SPRINGFIELD, TALLAGHT DUBLIN 24",Dublin 24,Dublin,"€177,500.00",No,No,Second-Hand Dwelling house /Apartment,
04/07/2019,"52 LARTIGUE VILLAGE, LISTOWEL, CO. KERRY",,Kerry,"€145,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
24/05/2017,"PEARSE ROAD, SLIGO, CO SLIGO",,Sligo,"€285,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/08/2021,"96 THE VILLAGE GREEN, ROYAL MEADOWS, KILCOCK",,Kildare,"€515,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/03/2010,"17  The Heights, Robswall, Malahide",,Dublin,"€546,255.51",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
14/07/2017,"DRAKESTOWN, CASTLETOWN, NAVAN",,Meath,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/11/2020,"ROSIES COTTAGE, BALLYASHEA, OLD KILDIMO",,Limerick,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2012,"Carrigane Road, Carrigtohill",,Cork,"€100,770.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2014,"27 TRANWAY, BLESSINGTON, WICKLOW",,Wicklow,"€63,500.00",No,No,Second-Hand Dwelling house /Apartment,
27/08/2021,"FIRST FLOOR, 122 -122A EMMET ROAD, INCHICORE",,Dublin,"€500,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/11/2020,"91 WOODLAWN PARK AVE, FIRHOUSE, DUBLIN",Dublin 24,Dublin,"€470,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/12/2017,"APT A, 1 SOUTHERN RD, CORK CITY",,Cork,"€132,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2010,"53 York Road, Dun Laoghaire",,Dublin,"€550,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/05/2018,"17 HOLLYBROOK PARK, KILRUDDERY, BRAY",,Wicklow,"€465,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/03/2018,"16 WOODBINE PARK, BLACKROCK, DUBLIN",,Dublin,"€1,050,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/08/2020,"ARDFARNA, BUNDORAN, DONEGAL",,Donegal,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2016,"OLD KILLARENY VILLAGE, KILLARNEY, CO KERRY",,Kerry,"€92,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/11/2019,"18 BELLEVIEW COURT, BOOTERSTOWN, COUNTY DUBLIN",,Dublin,"€313,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/09/2021,"APARTMENT NO 3, 15 NEW STREET, KILLARNEY",,Kerry,"€76,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/08/2016,"10 GENVILLE LAWN, CASTLEKNOCK, DUBLIN 15",Dublin 15,Dublin,"€390,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/08/2018,"1 PORTSIDE COURT, EASTWALL, DUBLIN 3",Dublin 3,Dublin,"€305,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/07/2020,"CARRIGEEN LODGE, DRINGEEN BAY, CONG",,Mayo,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/02/2017,"7 The Schoolyard, Newpark Drive, Kilkenny",,Kilkenny,"€272,028.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
11/09/2017,"APT 16 THE PIERRE, VICTORIA TERRACE, DUN LAOGHAIRE",,Dublin,"€471,365.64",No,No,Second-Hand Dwelling house /Apartment,
01/10/2014,"APT 7, 436 NORTH CIRCULAR RD, DUBLIN 7",Dublin 7,Dublin,"€105,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/02/2010,"Apartment 19  Grahams, Court  Marlton Road, Wicklow",,Wicklow,"€134,845.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/09/2019,"ALT LOWER, CASTLEFIN, LIFFORD",,Donegal,"€32,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/10/2014,"BALLYVALOO UPPER, BLACKWATER, WEXFORD",,Wexford,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2014,"7 BALLYDUFF, CLOYNE, CORK",,Cork,"€66,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/02/2021,"58 Abbotfield, Ballinagappa Road, Clane",,Kildare,"€295,154.18",No,Yes,New Dwelling house /Apartment,
25/03/2019,"53 HOLY CROSS PLACE, CHARLEVILLE, CO CORK",,Cork,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/10/2019,"37 THE VILLAGE, BETTYGLEN, WATERMILL RD DUBLIN 5",Dublin 5,Dublin,"€377,500.00",No,No,Second-Hand Dwelling house /Apartment,
13/12/2019,"EMMET STREET, TRIM, MEATH",,Meath,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/08/2018,"12 COLLEGE HILL, MULLINGAR, WESTMEATH",,Westmeath,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/07/2019,"19 NEWTOWN VILLAS, BLACKROCK, DUBLIN",,Dublin,"€465,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/06/2020,"33 An Fuaran, Oranmore",,Galway,"€295,154.00",No,Yes,New Dwelling house /Apartment,
06/02/2015,"87 HIGH PARK, GRACE PARK RD, DRUMCONDRA",Dublin 9,Dublin,"€360,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/10/2013,"Apartment 9, Block H  Castlekeep, Lyreen Manor   Maynooth",,Kildare,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/09/2020,"WESTON, THE BIRCHES, FOXROCK DUBLIN 18",Dublin 18,Dublin,"€1,500,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/11/2014,"KNOCKENAGH SOUTH, LISTOWEL, CO KERRY",,Kerry,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/06/2017,"12 Aughamore, Kilcock Road, Clane",,Kildare,"€367,400.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
08/04/2021,"6 CRESTWOOD AVE, ASHBOURNE, MEATH",,Meath,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/11/2019,"APT 23 BELFRY HOUSE, THE OAKS RIDGEWOOD, SWORDS",,Dublin,"€241,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/08/2018,"9 MONASTERY AVE, MONASTERY HILL, BLARNEY ST",,Cork,"€345,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/03/2018,"37 Stonebridge, Ratoath",,Meath,"€304,500.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
13/03/2014,"28 AUGHRIM HOLIDAY VILLAGE, AUGHRIM, WICKLOW",,Wicklow,"€62,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/05/2019,"CAPPANAGRAUN, CARRIGADROHID, CORK",,Cork,"€362,500.00",No,No,Second-Hand Dwelling house /Apartment,
28/07/2011,"27 Oakdale Close, Ballycullen, Firhouse",,Dublin,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/10/2015,"259 BOULEVARD, MOUNT EUSTACE, TYRELLSTOWN DUBLIN 15",Dublin 15,Dublin,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/12/2016,"TOWNSPARK, MULLINSTOWN, ARDEE",,Louth,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/03/2014,"44 CARRIGDHOUN, WATERPARK, CARRIGALINE",,Cork,"€105,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/10/2011,"15 Woodview Grove, Blanchardstown, Dublin",,Dublin,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/04/2013,"4A Line Terrace, Hill Street, Dundalk",,Louth,"€58,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/04/2018,"264 GREENFIELD COURT, TOM BELLEW AVE, DUNDALK",,Louth,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/08/2019,"16 THE CROFT, CLARINWOOD, TRAMORE",,Waterford,"€266,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2016,"51 WOLSELEY PARK, MOUNT WOLSELEY, TULLOW",,Carlow,"€145,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/03/2017,"APT 3  BLOCK 1 ROSEBANK PLACE, NANGOR ROAD, CLONDALKIN",,Dublin,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/09/2015,"105 WESBURY, STILLORGAN, DUBLIN",,Dublin,"€740,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/11/2012,"Killonan, Ballysimon",,Limerick,"€91,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/01/2017,"2 BELAN ST, BALTINGLASS, WICKLOW",,Wicklow,"€115,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/10/2011,"5 The Courtyard, Kildangan",,Kildare,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/01/2019,"22 CLOVER HILL, TULLA RD, ENNIS",,Clare,"€323,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/04/2016,"9 ARD NA TUIRE, DROMISKIN, DUNDALK",,Louth,"€111,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2015,"204 RIVER VILLAGE, MONKSLAND, ATHLONE",,Roscommon,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/08/2012,"8 The Walnut, Woodstream, Coolaney",,Sligo,"€105,727.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
26/02/2016,"106 THE DRUMLINS, VIRGINIA, CAVAN",,Cavan,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/07/2010,"46 Giltspur Brook, Bray",,Wicklow,"€305,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/05/2016,"47 Ellagh, Headford",,Galway,"€88,105.72",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
09/07/2019,"FEAKLE ROAD, SCARIFF, COUNTY CLARE",,Clare,"€103,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/12/2017,"TOWER, PETTIGO, DONEGAL",,Donegal,"€94,500.00",No,No,Second-Hand Dwelling house /Apartment,
16/10/2019,"26 COMMONS GROVE, DROMISKIN, LOUTH",,Louth,"€215,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/12/2019,"ASHVILLA, 1 CHURCH RD, BALLINA",,Mayo,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/01/2015,"BANK HOUSE, KILQUEENY, AVOCA",,Wicklow,"€325,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/05/2020,"ARD NA GAOITHE, BEG, BANTRY",,Cork,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/05/2017,"COOKSTOWN COTTAGE, BALLYBIN, ASHBOURNE",,Meath,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/05/2015,"73 Hazelwood, Northwood, Santry",Dublin 9,Dublin,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/06/2016,"GRANGEMORE, BORRIS IN OSSORY, LAOIS",,Laois,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/05/2021,"3 ROSEMOUNT TERRACE, DUBLIN 14, DUBLIN",Dublin 14,Dublin,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/05/2015,"13 SARSFIELD SQUARE, THURLES",,Tipperary,"€85,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/09/2018,"45 HILLVIEW, CLANE, KILDARE",,Kildare,"€255,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/10/2020,"7 The Court, Hazelbrook Square, Churchtown",Dublin 14,Dublin,"€555,067.00",No,Yes,New Dwelling house /Apartment,
20/08/2015,"4 ALLEN SQ, BANDON, CORK",,Cork,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/12/2018,"67 RIDGEWOOD SQ, SWORDS, DUBLIN",,Dublin,"€296,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/06/2013,"140 CLONARD PARK, BALLYBEG",,Waterford,"€28,500.00",No,No,Second-Hand Dwelling house /Apartment,
24/10/2016,"CHURCHVIEW, SAGGART, DUBLIN",Dublin 24,Dublin,"€337,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/10/2018,"MYSTIC COTTAGE, NARROWAY RD, BETTYSTOWN",,Meath,"€119,008.00",No,No,Second-Hand Dwelling house /Apartment,
06/01/2014,"44 Slade Castle Avenue, Saggart",,Dublin,"€163,876.65",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
23/05/2013,"16 CLOONMORE GREEN, DUBLIN 24, DUBLIN.",Dublin 24,Dublin,"€35,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/11/2019,"26 MILLERS LANE, SKERRIES, DUBLIN",,Dublin,"€47,500.00",Yes,No,Second-Hand Dwelling house /Apartment,
21/10/2015,"MULLINGAR RD, BALLIVOR, CO MEATH",,Meath,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/08/2019,"3 ELLERSLIE VILLAS, SIDMONTON RD, BRAY",,Wicklow,"€1,005,000.00",No,No,Second-Hand Dwelling house /Apartment,
