Date of Sale (yyyy/mm/dd),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,Month,Year,percent,Season,Province,GDP (USD-Billion),Total Number of Loans Approved,Added Post Codes
2014-01-20 00:00:00,"4 oakwood, woodlawn rd, killarney",,Kerry,230000.0,No,No,Second-Hand Dwelling house /Apartment,None,1.0,2014.0,0.3703703703703704,Winter,Munster,258.63,31897.0,
2016-09-16 00:00:00,"apt 6 woodford court, leinster rd west, dublin",d6,Dublin,265575.0,No,No,Second-Hand Dwelling house /Apartment,None,9.0,2016.0,0.032829940906106365,Autumn,Leinster,298.73,35037.0,d6
2021-12-02 00:00:00,"1 gurteen gardens, ballinacurra, limerick",,Limerick,250000.0,No,No,Second-Hand Dwelling house /Apartment,None,12.0,2021.0,0.29411764705882354,Winter,Munster,440.0,Unkown,
2016-05-25 00:00:00,"lake view cottage, foxwood, kilmore",,Roscommon,95000.0,No,No,Second-Hand Dwelling house /Apartment,None,5.0,2016.0,0.7407407407407408,Spring,Connaught,298.73,35037.0,
2020-09-12 00:00:00,"4 forgelands, old forge road, enniscorthy",,Wexford,190390.31,No,Yes,New Dwelling house /Apartment,None,9.0,2020.0,0.28653295128939826,Autumn,Leinster,425.89,Unkown,
2019-07-02 00:00:00,"142 boireann bheag, roscam, galway",,Galway,222000.0,No,No,Second-Hand Dwelling house /Apartment,None,7.0,2019.0,0.20533880903490762,Summer,Connaught,399.12,Unkown,
2017-10-23 00:00:00,"willowhill, relebeg, bailieborough",,Cavan,150000.0,No,No,Second-Hand Dwelling house /Apartment,None,10.0,2017.0,0.6666666666666667,Autumn,Ulster,334.6,Unkown,
2015-09-01 00:00:00,"mountlands, kilmessan, co meath",,Meath,152000.0,No,No,Second-Hand Dwelling house /Apartment,None,9.0,2015.0,0.25316455696202533,Autumn,Leinster,291.46,32236.0,
2015-02-25 00:00:00,"eochaill, glen, ballyneety",,Limerick,235000.0,No,No,Second-Hand Dwelling house /Apartment,None,2.0,2015.0,0.29411764705882354,Winter,Munster,291.46,32236.0,
2017-05-31 00:00:00,"apt 3, bellingham green, castlebellingham",,Louth,425000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,5.0,2017.0,0.37174721189591076,Spring,Leinster,334.6,Unkown,
2018-10-12 00:00:00,"12 cruachan, dungarvan, co waterford",,Waterford,170000.0,No,No,Second-Hand Dwelling house /Apartment,None,10.0,2018.0,0.4291845493562232,Autumn,Munster,384.85,Unkown,
2014-05-02 00:00:00,"70 parkmore dr, terenure, d6w",,Dublin,610000.0,No,No,Second-Hand Dwelling house /Apartment,None,5.0,2014.0,0.032829940906106365,Spring,Leinster,258.63,31897.0,d6
2021-12-04 00:00:00,"brookfield, myrtleville, cork",,Cork,190000.0,No,No,Second-Hand Dwelling house /Apartment,None,12.0,2021.0,0.0946969696969697,Winter,Munster,440.0,Unkown,
2016-11-21 00:00:00,"18 parkside avenue, balgriffin, d13",d13,Dublin,281938.32,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,11.0,2016.0,0.032829940906106365,Autumn,Leinster,298.73,35037.0,d13
2016-09-12 00:00:00,"175 ballyroan rd, rathfarnham, d16",d16,Dublin,507000.0,No,No,Second-Hand Dwelling house /Apartment,None,9.0,2016.0,0.032829940906106365,Autumn,Leinster,298.73,35037.0,d16
2020-05-11 00:00:00,"3 herbert lane, d2, dublin",,Dublin,710000.0,No,No,Second-Hand Dwelling house /Apartment,None,5.0,2020.0,0.032829940906106365,Spring,Leinster,425.89,Unkown,d2
2011-04-27 00:00:00,"1 alexander street, waterford",,Waterford,45000.0,No,No,Second-Hand Dwelling house /Apartment,None,4.0,2011.0,0.4291845493562232,Spring,Munster,238.66,12834.0,
2021-08-27 00:00:00,"the coach house, glyntown, glanmire",,Cork,515000.0,No,No,Second-Hand Dwelling house /Apartment,None,8.0,2021.0,0.0946969696969697,Summer,Munster,440.0,Unkown,
2021-05-21 00:00:00,"allenwood south, naas, co kildare",,Kildare,128000.0,No,No,Second-Hand Dwelling house /Apartment,None,5.0,2021.0,0.22624434389140274,Spring,Leinster,440.0,Unkown,
2017-04-12 00:00:00,"92 patrick st, kilkenny, kilkenny",,Kilkenny,150000.0,No,No,Second-Hand Dwelling house /Apartment,None,4.0,2017.0,0.8064516129032258,Spring,Leinster,334.6,Unkown,
2010-07-19 00:00:00,"17 bishop murphy park, parteen",,Clare,150000.0,No,No,Second-Hand Dwelling house /Apartment,None,7.0,2010.0,0.4329004329004329,Summer,Munster,221.66,20021.0,
2021-08-17 00:00:00,"4 an gairdin cuil, cosmona, loughrea",,Galway,265000.0,No,Yes,New Dwelling house /Apartment,None,8.0,2021.0,0.20533880903490762,Summer,Connaught,440.0,Unkown,
2012-05-31 00:00:00,"44 fernwood, glyntown, glanmire",,Cork,205000.0,No,No,Second-Hand Dwelling house /Apartment,None,5.0,2012.0,0.0946969696969697,Spring,Munster,225.51,17769.0,
2010-08-13 00:00:00,"farragh, killoe",,Longford,200000.0,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,8.0,2010.0,1.2345679012345678,Summer,Leinster,221.66,20021.0,
2021-11-29 00:00:00,"18 strand view, strand road, bray",,Wicklow,431718.0,No,Yes,New Dwelling house /Apartment,None,11.0,2021.0,0.32573289902280134,Autumn,Leinster,440.0,Unkown,
2020-10-15 00:00:00,"apt 23, broadleaf, charlotte quay",,Limerick,90000.0,No,No,Second-Hand Dwelling house /Apartment,None,10.0,2020.0,0.29411764705882354,Autumn,Munster,425.89,Unkown,
2018-09-27 00:00:00,"teach sabhaircin, mounfoun old parish, dungarvan",,Waterford,229000.0,No,No,Second-Hand Dwelling house /Apartment,None,9.0,2018.0,0.4291845493562232,Autumn,Munster,384.85,Unkown,
2013-06-26 00:00:00,"35 marsham court, kilmacud road, stillorgan",,Dublin,332500.0,No,No,Second-Hand Dwelling house /Apartment,None,6.0,2013.0,0.032829940906106365,Summer,Leinster,238.21,19258.0,
2014-05-29 00:00:00,"glenmore, collon, louth",,Louth,233000.0,No,No,Second-Hand Dwelling house /Apartment,None,5.0,2014.0,0.37174721189591076,Spring,Leinster,258.63,31897.0,
2021-07-14 00:00:00,"apt 38 westside, pearse rd, letterkenny",,Donegal,65000.0,No,No,Second-Hand Dwelling house /Apartment,None,7.0,2021.0,0.38461538461538464,Summer,Ulster,440.0,Unkown,
2013-09-24 00:00:00,"errew, crossmolina",,Mayo,57999.0,No,No,Second-Hand Dwelling house /Apartment,None,9.0,2013.0,0.3968253968253968,Autumn,Connaught,238.21,19258.0,
2014-06-06 00:00:00,"17 bellview heights, mullingar, westmeath",,Westmeath,94500.0,No,No,Second-Hand Dwelling house /Apartment,None,6.0,2014.0,0.5882352941176471,Summer,Leinster,258.63,31897.0,
2013-11-28 00:00:00,"ballingarry, ballyfeard",,Cork,123000.0,No,No,Second-Hand Dwelling house /Apartment,None,11.0,2013.0,0.0946969696969697,Autumn,Munster,238.21,19258.0,
2015-10-09 00:00:00,"apt 92, clonard village centre, clonard",,Wexford,77000.0,No,No,Second-Hand Dwelling house /Apartment,None,10.0,2015.0,0.28653295128939826,Autumn,Leinster,291.46,32236.0,
2020-10-12 00:00:00,"12 church avenue, roman st, cork",,Cork,70000.0,No,No,Second-Hand Dwelling house /Apartment,None,10.0,2020.0,0.0946969696969697,Autumn,Munster,425.89,Unkown,
2019-11-27 00:00:00,"14 meadowgate, marlton road",,Wicklow,297797.36,No,Yes,New Dwelling house /Apartment,None,11.0,2019.0,0.32573289902280134,Autumn,Leinster,399.12,Unkown,
2019-07-26 00:00:00,"revanagh, coolcullen, via carlow",,Kilkenny,107000.0,No,No,Second-Hand Dwelling house /Apartment,None,7.0,2019.0,0.8064516129032258,Summer,Leinster,399.12,Unkown,
2019-07-31 00:00:00,"apt 21 the green, hazel hatch park, celebridge",,Kildare,227500.0,No,No,Second-Hand Dwelling house /Apartment,None,7.0,2019.0,0.22624434389140274,Summer,Leinster,399.12,Unkown,
2018-11-12 00:00:00,"4 hillside, bellingsfield, kilcullen road",,Kildare,262540.09,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,11.0,2018.0,0.22624434389140274,Autumn,Leinster,384.85,Unkown,
2015-05-27 00:00:00,"29 bru na habhainn, collooney, co. sligo",,Sligo,115000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,5.0,2015.0,0.7194244604316548,Spring,Connaught,291.46,32236.0,
2020-09-25 00:00:00,"18 seaview square, cnoc namara, blackrock",,Louth,250000.0,No,No,Second-Hand Dwelling house /Apartment,None,9.0,2020.0,0.37174721189591076,Autumn,Leinster,425.89,Unkown,
2021-09-20 00:00:00,"18a glenamuck cottages, carrickmines, d18",d18,Dublin,882500.0,No,No,Second-Hand Dwelling house /Apartment,None,9.0,2021.0,0.032829940906106365,Autumn,Leinster,440.0,Unkown,d18
2013-05-31 00:00:00,"98 rafters road, drimnagh, dublin",d12,Dublin,148500.0,No,No,Second-Hand Dwelling house /Apartment,None,5.0,2013.0,0.032829940906106365,Spring,Leinster,238.21,19258.0,d12
2014-07-17 00:00:00,"100 herberton rd, rialto, d8",d8,Dublin,405500.0,No,No,Second-Hand Dwelling house /Apartment,None,7.0,2014.0,0.032829940906106365,Summer,Leinster,258.63,31897.0,d8
2015-01-09 00:00:00,"2 stucker hill, abbeyleix",,Laois,76000.0,No,No,Second-Hand Dwelling house /Apartment,None,1.0,2015.0,0.6578947368421052,Winter,Leinster,291.46,32236.0,
2018-11-13 00:00:00,"3 discovery, royal canal park, ratoath rd d15",d7,Dublin,237885.46,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,11.0,2018.0,0.032829940906106365,Autumn,Leinster,384.85,Unkown,d15
2018-06-04 00:00:00,"2 bentley villas, dun laoghaire, dublin",,Dublin,485000.0,No,No,Second-Hand Dwelling house /Apartment,None,6.0,2018.0,0.032829940906106365,Summer,Leinster,384.85,Unkown,
2013-01-30 00:00:00,"13 greenpark meadows, mullingar",,Westmeath,107000.0,No,No,Second-Hand Dwelling house /Apartment,None,1.0,2013.0,0.5882352941176471,Winter,Leinster,238.21,19258.0,
2018-01-06 00:00:00,"11 fortfield dr, terenure, d6w",,Dublin,1143000.0,No,No,Second-Hand Dwelling house /Apartment,None,1.0,2018.0,0.032829940906106365,Winter,Leinster,384.85,Unkown,d6
2015-11-27 00:00:00,"4 abotts wood, carndonagh, donegal",,Donegal,75000.0,No,No,Second-Hand Dwelling house /Apartment,None,11.0,2015.0,0.38461538461538464,Autumn,Ulster,291.46,32236.0,
2019-10-09 00:00:00,"187 errigal rd, d12, dublin",d12,Dublin,330000.0,No,No,Second-Hand Dwelling house /Apartment,None,10.0,2019.0,0.032829940906106365,Autumn,Leinster,399.12,Unkown,d12
2012-12-20 00:00:00,"88 dowland road, walkinstown",d11,Dublin,197000.0,No,No,Second-Hand Dwelling house /Apartment,None,12.0,2012.0,0.032829940906106365,Winter,Leinster,225.51,17769.0,d11
2018-04-18 00:00:00,"keeragh view, ballygow, carrig on bannow",,Wexford,142500.0,No,No,Second-Hand Dwelling house /Apartment,None,4.0,2018.0,0.28653295128939826,Spring,Leinster,384.85,Unkown,
2016-11-10 00:00:00,"24 riverside dr, shannon banks, corbally",,Clare,140000.0,No,No,Second-Hand Dwelling house /Apartment,None,11.0,2016.0,0.4329004329004329,Autumn,Munster,298.73,35037.0,
2018-11-06 00:00:00,"76 grange abbey rd, donaghmeade, d13",d13,Dublin,385000.0,No,No,Second-Hand Dwelling house /Apartment,None,11.0,2018.0,0.032829940906106365,Autumn,Leinster,384.85,Unkown,d13
2017-05-30 00:00:00,"6 beaufield grove, maynooth, kildare",,Kildare,260000.0,No,No,Second-Hand Dwelling house /Apartment,None,5.0,2017.0,0.22624434389140274,Spring,Leinster,334.6,Unkown,
2016-11-21 00:00:00,"apt 25 chancery court, chancery lane, d8",d8,Dublin,376000.0,No,No,Second-Hand Dwelling house /Apartment,None,11.0,2016.0,0.032829940906106365,Autumn,Leinster,298.73,35037.0,d8
2019-07-03 00:00:00,"27 marrsfield avenue, clongriffin",d13,Dublin,343700.0,No,Yes,New Dwelling house /Apartment,None,7.0,2019.0,0.032829940906106365,Summer,Leinster,399.12,Unkown,d13
2021-07-16 00:00:00,"62 fitzwilliam quay, ringsend, d4",d4,Dublin,342000.0,No,No,Second-Hand Dwelling house /Apartment,None,7.0,2021.0,0.032829940906106365,Summer,Leinster,440.0,Unkown,d4
2010-12-22 00:00:00,"18 drumcree court, kildare town",,Kildare,220000.0,No,No,Second-Hand Dwelling house /Apartment,None,12.0,2010.0,0.22624434389140274,Winter,Leinster,221.66,20021.0,
2016-05-17 00:00:00,"20 innishmore lawn, ballincollig, cork",,Cork,110000.0,No,No,Second-Hand Dwelling house /Apartment,None,5.0,2016.0,0.0946969696969697,Spring,Munster,298.73,35037.0,
2017-07-12 00:00:00,"2 annalee, russell quay, ballyconnell",,Cavan,46000.0,No,No,Second-Hand Dwelling house /Apartment,None,7.0,2017.0,0.6666666666666667,Summer,Ulster,334.6,Unkown,
2018-10-01 00:00:00,"29 the meadows, whitefield manor, bettystown",,Meath,225022.03,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,10.0,2018.0,0.25316455696202533,Autumn,Leinster,384.85,Unkown,
2015-02-23 00:00:00,"1 osullivan ave, ballybough, d3",d3,Dublin,190000.0,No,No,Second-Hand Dwelling house /Apartment,None,2.0,2015.0,0.032829940906106365,Winter,Leinster,291.46,32236.0,d3
2020-10-22 00:00:00,"31 belleville, blackhorse ave, d7",d7,Dublin,485000.0,No,No,Second-Hand Dwelling house /Apartment,None,10.0,2020.0,0.032829940906106365,Autumn,Leinster,425.89,Unkown,d7
2015-03-25 00:00:00,"36 maplewood ave, springfield, tallaght d24",d24,Dublin,177500.0,No,No,Second-Hand Dwelling house /Apartment,None,3.0,2015.0,0.032829940906106365,Spring,Leinster,291.46,32236.0,d24
2017-05-24 00:00:00,"pearse road, sligo, co sligo",,Sligo,285000.0,No,No,Second-Hand Dwelling house /Apartment,None,5.0,2017.0,0.7194244604316548,Spring,Connaught,334.6,Unkown,
2021-08-18 00:00:00,"96 the village green, royal meadows, kilcock",,Kildare,515000.0,No,No,Second-Hand Dwelling house /Apartment,None,8.0,2021.0,0.22624434389140274,Summer,Leinster,440.0,Unkown,
2010-05-03 00:00:00,"17  the heights, robswall, malahide",,Dublin,546255.51,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,5.0,2010.0,0.032829940906106365,Spring,Leinster,221.66,20021.0,
2017-07-14 00:00:00,"drakestown, castletown, navan",,Meath,50000.0,No,No,Second-Hand Dwelling house /Apartment,None,7.0,2017.0,0.25316455696202533,Summer,Leinster,334.6,Unkown,
2020-11-17 00:00:00,"rosies cottage, ballyashea, old kildimo",,Limerick,340000.0,No,No,Second-Hand Dwelling house /Apartment,None,11.0,2020.0,0.29411764705882354,Autumn,Munster,425.89,Unkown,
2012-12-20 00:00:00,"carrigane road, carrigtohill",,Cork,100770.0,No,No,Second-Hand Dwelling house /Apartment,None,12.0,2012.0,0.0946969696969697,Winter,Munster,225.51,17769.0,
2014-12-21 00:00:00,"27 tranway, blessington, wicklow",,Wicklow,63500.0,No,No,Second-Hand Dwelling house /Apartment,None,12.0,2014.0,0.32573289902280134,Winter,Leinster,258.63,31897.0,
2021-08-27 00:00:00,"first floor, 122 -122a emmet road, inchicore",,Dublin,500000.0,No,No,Second-Hand Dwelling house /Apartment,None,8.0,2021.0,0.032829940906106365,Summer,Leinster,440.0,Unkown,
2020-11-25 00:00:00,"91 woodlawn park ave, firhouse, dublin",d24,Dublin,470000.0,No,No,Second-Hand Dwelling house /Apartment,None,11.0,2020.0,0.032829940906106365,Autumn,Leinster,425.89,Unkown,d24
2017-12-19 00:00:00,"apt a, 1 southern rd, cork city",,Cork,132000.0,No,No,Second-Hand Dwelling house /Apartment,None,12.0,2017.0,0.0946969696969697,Winter,Munster,334.6,Unkown,
2010-12-20 00:00:00,"53 york road, dun laoghaire",,Dublin,550000.0,No,No,Second-Hand Dwelling house /Apartment,None,12.0,2010.0,0.032829940906106365,Winter,Leinster,221.66,20021.0,
2018-05-23 00:00:00,"17 hollybrook park, kilruddery, bray",,Wicklow,465000.0,No,No,Second-Hand Dwelling house /Apartment,None,5.0,2018.0,0.32573289902280134,Spring,Leinster,384.85,Unkown,
2018-03-22 00:00:00,"16 woodbine park, blackrock, dublin",,Dublin,1050000.0,No,No,Second-Hand Dwelling house /Apartment,None,3.0,2018.0,0.032829940906106365,Spring,Leinster,384.85,Unkown,
2020-10-08 00:00:00,"ardfarna, bundoran, donegal",,Donegal,150000.0,No,No,Second-Hand Dwelling house /Apartment,None,10.0,2020.0,0.38461538461538464,Autumn,Ulster,425.89,Unkown,
2016-10-01 00:00:00,"old killareny village, killarney, co kerry",,Kerry,92000.0,No,No,Second-Hand Dwelling house /Apartment,None,10.0,2016.0,0.3703703703703704,Autumn,Munster,298.73,35037.0,
2019-11-13 00:00:00,"18 belleview court, booterstown, county dublin",,Dublin,313000.0,No,No,Second-Hand Dwelling house /Apartment,None,11.0,2019.0,0.032829940906106365,Autumn,Leinster,399.12,Unkown,
2021-09-30 00:00:00,"apartment no 3, 15 new street, killarney",,Kerry,76000.0,No,No,Second-Hand Dwelling house /Apartment,None,9.0,2021.0,0.3703703703703704,Autumn,Munster,440.0,Unkown,
2016-08-15 00:00:00,"10 genville lawn, castleknock, d15",d15,Dublin,390000.0,No,No,Second-Hand Dwelling house /Apartment,None,8.0,2016.0,0.032829940906106365,Summer,Leinster,298.73,35037.0,d15
2018-08-24 00:00:00,"1 portside court, eastwall, d3",d3,Dublin,305000.0,No,No,Second-Hand Dwelling house /Apartment,None,8.0,2018.0,0.032829940906106365,Summer,Leinster,384.85,Unkown,d3
2020-07-29 00:00:00,"carrigeen lodge, dringeen bay, cong",,Mayo,75000.0,No,No,Second-Hand Dwelling house /Apartment,None,7.0,2020.0,0.3968253968253968,Summer,Connaught,425.89,Unkown,
2017-03-02 00:00:00,"7 the schoolyard, newpark drive, kilkenny",,Kilkenny,272028.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,3.0,2017.0,0.8064516129032258,Spring,Leinster,334.6,Unkown,
2017-11-09 00:00:00,"apt 16 the pierre, victoria terrace, dun laoghaire",,Dublin,471365.64,No,No,Second-Hand Dwelling house /Apartment,None,11.0,2017.0,0.032829940906106365,Autumn,Leinster,334.6,Unkown,
2014-01-10 00:00:00,"apt 7, 436 north circular rd, d7",d7,Dublin,105000.0,No,No,Second-Hand Dwelling house /Apartment,None,1.0,2014.0,0.032829940906106365,Winter,Leinster,258.63,31897.0,d7
2010-04-02 00:00:00,"apartment 19  grahams, court  marlton road, wicklow",,Wicklow,134845.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,4.0,2010.0,0.32573289902280134,Spring,Leinster,221.66,20021.0,
2019-04-09 00:00:00,"alt lower, castlefin, lifford",,Donegal,32000.0,No,No,Second-Hand Dwelling house /Apartment,None,4.0,2019.0,0.38461538461538464,Spring,Ulster,399.12,Unkown,
2014-03-10 00:00:00,"ballyvaloo upper, blackwater, wexford",,Wexford,110000.0,No,No,Second-Hand Dwelling house /Apartment,None,3.0,2014.0,0.28653295128939826,Spring,Leinster,258.63,31897.0,
2014-12-17 00:00:00,"7 ballyduff, cloyne, cork",,Cork,66000.0,No,No,Second-Hand Dwelling house /Apartment,None,12.0,2014.0,0.0946969696969697,Winter,Munster,258.63,31897.0,
2021-09-02 00:00:00,"58 abbotfield, ballinagappa road, clane",,Kildare,295154.18,No,Yes,New Dwelling house /Apartment,None,9.0,2021.0,0.22624434389140274,Autumn,Leinster,440.0,Unkown,
2019-03-25 00:00:00,"53 holy cross place, charleville, co cork",,Cork,60000.0,No,No,Second-Hand Dwelling house /Apartment,None,3.0,2019.0,0.0946969696969697,Spring,Munster,399.12,Unkown,
2019-10-23 00:00:00,"37 the village, bettyglen, watermill rd d5",d5,Dublin,377500.0,No,No,Second-Hand Dwelling house /Apartment,None,10.0,2019.0,0.032829940906106365,Autumn,Leinster,399.12,Unkown,d5
2019-12-13 00:00:00,"emmet street, trim, meath",,Meath,270000.0,No,No,Second-Hand Dwelling house /Apartment,None,12.0,2019.0,0.25316455696202533,Winter,Leinster,399.12,Unkown,
2018-08-08 00:00:00,"12 college hill, mullingar, westmeath",,Westmeath,295000.0,No,No,Second-Hand Dwelling house /Apartment,None,8.0,2018.0,0.5882352941176471,Summer,Leinster,384.85,Unkown,
2019-07-25 00:00:00,"19 newtown villas, blackrock, dublin",,Dublin,465000.0,No,No,Second-Hand Dwelling house /Apartment,None,7.0,2019.0,0.032829940906106365,Summer,Leinster,399.12,Unkown,
2020-06-19 00:00:00,"33 an fuaran, oranmore",,Galway,295154.0,No,Yes,New Dwelling house /Apartment,None,6.0,2020.0,0.20533880903490762,Summer,Connaught,425.89,Unkown,
2015-06-02 00:00:00,"87 high park, grace park rd, drumcondra",d9,Dublin,360000.0,No,No,Second-Hand Dwelling house /Apartment,None,6.0,2015.0,0.032829940906106365,Summer,Leinster,291.46,32236.0,d9
2013-10-24 00:00:00,"apartment 9, block h  castlekeep, lyreen manor   maynooth",,Kildare,155000.0,No,No,Second-Hand Dwelling house /Apartment,None,10.0,2013.0,0.22624434389140274,Autumn,Leinster,238.21,19258.0,
2020-01-09 00:00:00,"weston, the birches, foxrock d18",d18,Dublin,1500000.0,No,No,Second-Hand Dwelling house /Apartment,None,1.0,2020.0,0.032829940906106365,Winter,Leinster,425.89,Unkown,d18
